date,predicted_sales,lower_bound,upper_bound
2023-12-31,3400.4369210432965,2423.9120974011644,4407.804534916802
2024-01-07,4227.800495788451,3238.0103640480556,5236.0568354243305
2024-01-14,4438.582097329202,3384.7262741328227,5426.187268930953
2024-01-21,4292.4655194130855,3306.459923049701,5284.002585456234
2024-01-28,4323.200692104036,3307.3969097526733,5363.071310106466
2024-02-04,4757.209441379931,3722.9725022838506,5741.090051800045
2024-02-11,5315.7545664863455,4316.313142839737,6332.240449803662
2024-02-18,5545.512559410082,4525.659591213765,6481.183773288167
2024-02-25,5289.702191273609,4328.2491410493485,6315.077661971532
2024-03-03,4832.220494057687,3853.140918317242,5864.241020297929
2024-03-10,4617.440821295475,3636.0484533771355,5631.515075734427
2024-03-17,4846.087153096736,3864.904424968186,5834.8646492646985
